author,book_id,chapter_index,chapter_title,n_sentences,n_tokens,n_tokens_alpha,mean_sentence_len_tokens,var_sentence_len,var_sentence_len_tokens,mean_word_len,var_word_len,ttr,mtld,flesch_reading_ease,flesch_kincaid_grade,word_entropy_bits,vader_compound,vader_pos,vader_neu,vader_neg,n_unique_lemmas,pos_univ_.,pos_univ_ADJ,pos_univ_ADP,pos_univ_ADV,pos_univ_CONJ,pos_univ_DET,pos_univ_NOUN,pos_univ_NUM,pos_univ_PRON,pos_univ_PRT,pos_univ_VERB,pos_univ_X,pos_penn_'',pos_penn_CC,pos_penn_CD,pos_penn_DT,pos_penn_EX,pos_penn_FW,pos_penn_IN,pos_penn_JJ,pos_penn_JJR,pos_penn_JJS,pos_penn_MD,pos_penn_NN,pos_penn_NNP,pos_penn_NNPS,pos_penn_NNS,pos_penn_PDT,pos_penn_POS,pos_penn_PRP,pos_penn_PRP$,pos_penn_RB,pos_penn_RBR,pos_penn_RBS,pos_penn_RP,pos_penn_TO,pos_penn_UH,pos_penn_VB,pos_penn_VBD,pos_penn_VBG,pos_penn_VBN,pos_penn_VBP,pos_penn_VBZ,pos_penn_WDT,pos_penn_WP,pos_penn_WP$,pos_penn_WRB,pos_univ_prop_.,pos_univ_prop_ADJ,pos_univ_prop_ADP,pos_univ_prop_ADV,pos_univ_prop_CONJ,pos_univ_prop_DET,pos_univ_prop_NOUN,pos_univ_prop_NUM,pos_univ_prop_PRON,pos_univ_prop_PRT,pos_univ_prop_VERB,pos_univ_prop_X,pos_penn_prop_'',pos_penn_prop_CC,pos_penn_prop_CD,pos_penn_prop_DT,pos_penn_prop_EX,pos_penn_prop_FW,pos_penn_prop_IN,pos_penn_prop_JJ,pos_penn_prop_JJR,pos_penn_prop_JJS,pos_penn_prop_MD,pos_penn_prop_NN,pos_penn_prop_NNP,pos_penn_prop_NNPS,pos_penn_prop_NNS,pos_penn_prop_PDT,pos_penn_prop_POS,pos_penn_prop_PRP,pos_penn_prop_PRP$,pos_penn_prop_RB,pos_penn_prop_RBR,pos_penn_prop_RBS,pos_penn_prop_RP,pos_penn_prop_TO,pos_penn_prop_UH,pos_penn_prop_VB,pos_penn_prop_VBD,pos_penn_prop_VBG,pos_penn_prop_VBN,pos_penn_prop_VBP,pos_penn_prop_VBZ,pos_penn_prop_WDT,pos_penn_prop_WP,pos_penn_prop_WP$,pos_penn_prop_WRB,sample_sentences,pos_penn_$,pos_penn_prop_$
Dickens,TheOldCuriosityShop,1,CHAPTER 1,173,6214,5235,35.91907514450867,560.2940292024458,560.2940292024458,4.091308500477555,4.766065814092022,0.2573,96.5702,71.24532986334668,9.24897697,8.504706022068358,0.9999,0.156,0.765,0.079,1242,0,398,674,371,279,566,1005,23,702,135,1081,1,0,279,23,496,17,0,674,377,14,7,71,791,82,0,132,12,0,500,159,310,14,6,17,118,1,195,392,119,139,107,58,41,38,5,41,0,0.076026743,0.12874880611270295,0.07086915,0.053295129,0.10811843361986628,0.19197707736389685,0.004393505,0.1340974212034384,0.025787965616045846,0.20649474689589303,0.000191022,0,0.053295129,0.004393505,0.094746896,0.003247373,0,0.12874880611270295,0.072015282,0.002674308,0.001337154,0.013562559694364852,0.15109837631327602,0.015663801,0,0.0252149,0.002292264,0,0.095510984,0.030372493,0.05921681,0.002674308,0.001146132,0.003247373,0.022540592,0.000191022,0.037249284,0.074880611,0.022731614135625598,0.026552053486150907,0.020439351,0.011079274,0.007831901,0.007258835,0.00095511,0.007831901,[],,
Dickens,TheOldCuriosityShop,2,CHAPTER 2,72,3069,2568,42.625,968.6510416666666,968.6510416666666,4.2776479750778815,5.784671726545744,0.3462,95.0184,62.48315901639346,10.908903825136615,8.29933067,0.9996,0.134,0.788,0.078,841,0,216,335,156,124,309,539,8,292,89,500,0,0,124,8,281,5,0,335,205,5,6,39,389,68,0,82,2,0,197,80,135,3,1,13,76,0,103,141,52,62,50,53,21,15,0,17,0,0.08411215,0.13045171339563863,0.060747664,0.048286604361370715,0.12032710280373832,0.20989096573208724,0.003115265,0.11370716510903427,0.034657321,0.19470404984423675,0,0,0.048286604361370715,0.003115265,0.10942367601246106,0.00194704,0,0.13045171339563863,0.07982866,0.00194704,0.002336449,0.015186915887850467,0.1514797507788162,0.026479751,0,0.031931464174454825,0.000778816,0,0.076713396,0.031152648,0.052570093457943924,0.001168224,0.000389408,0.005062305,0.029595015576323987,0,0.040109034,0.054906542056074766,0.020249221183800622,0.024143302180685357,0.019470404984423675,0.020638629283489095,0.00817757,0.005841121,0,0.006619938,[],,
Dickens,TheOldCuriosityShop,3,CHAPTER 3,105,3470,2842,33.04761904761905,721.1691609977324,721.1691609977324,4.128430682617875,4.721366221268289,0.3244,90.9684,71.73054429268768,8.598401064043042,8.317883945522933,0.9992,0.14,0.753,0.107,884,0,236,330,199,155,299,550,7,387,91,587,1,0,155,7,264,7,0,330,225,7,4,46,396,84,0,70,5,0,251,117,178,5,2,9,82,1,127,190,61,69,69,25,23,19,0,14,0,0.083040113,0.11611541168191415,0.070021112,0.054539057,0.10520760028149191,0.19352568613652357,0.002463054,0.13617171006333567,0.032019704,0.20654468684025334,0.000351865,0,0.054539057,0.002463054,0.092892329,0.002463054,0,0.11611541168191415,0.079169599,0.002463054,0.00140746,0.016185785,0.13933849401829698,0.029556650246305417,0,0.024630541871921183,0.001759324,0,0.088318086,0.041168191,0.062631949,0.001759324,0.00070373,0.003166784,0.028852920478536243,0.000351865,0.04468684,0.066854328,0.021463757916959886,0.024278676988036593,0.024278676988036593,0.008796622,0.008092892,0.006685433,0,0.004926108,[],,
Dickens,TheOldCuriosityShop,4,CHAPTER 4,85,3830,3172,45.05882352941177,1106.2435986159167,1106.2435986159167,4.225094577553594,5.114527891433396,0.309,90.1108,60.22039680830446,11.487341976611464,8.374256915,0.9994,0.128,0.782,0.091,934,0,243,394,181,144,368,720,13,357,113,639,0,0,144,13,332,6,0,394,227,10,6,34,451,160,2,107,9,0,224,105,161,2,0,12,101,0,131,221,60,77,68,48,21,27,1,18,0,0.076607818,0.12421185372005045,0.057061790668348045,0.045397226,0.11601513240857503,0.22698612862547288,0.004098361,0.11254728877679697,0.035624212,0.20145018915510718,0,0,0.045397226,0.004098361,0.10466582597730138,0.001891551,0,0.12421185372005045,0.071563682,0.003152585,0.001891551,0.010718789407313998,0.1421815889029004,0.050441362,0.000630517,0.033732661,0.002837327,0,0.070617907,0.033102144,0.05075662,0.000630517,0,0.003783102,0.03184111,0,0.041298865,0.069672131,0.018915510718789406,0.024274905422446407,0.021437578814627996,0.015132408575031526,0.006620429,0.00851198,0.000315259,0.005674653,[],,
Dickens,TheOldCuriosityShop,5,CHAPTER 5,83,2985,2476,35.963855421686745,570.4203803164465,570.4203803164465,4.206785137318255,5.078403073381685,0.3582,103.768,65.84559461006832,10.273339467549995,8.326197339158373,0.9974,0.106,0.814,0.08,856,0,177,342,146,128,293,590,15,259,78,448,0,0,128,15,270,4,0,342,170,5,2,10,413,95,0,82,3,0,161,90,129,3,0,18,60,0,70,169,83,59,40,17,16,8,0,14,0,0.071486268,0.1381260096930533,0.058966074,0.051696284329563816,0.11833602584814217,0.2382875605815832,0.006058158,0.10460420032310178,0.031502423,0.18093699515347333,0,0,0.051696284329563816,0.006058158,0.10904684975767366,0.001615509,0,0.1381260096930533,0.068659128,0.002019386,0.000807754,0.004038772,0.16680129240710823,0.038368336,0,0.033117932148626815,0.001211632,0,0.065024233,0.036348949919224556,0.052100162,0.001211632,0,0.00726979,0.024232633279483037,0,0.028271405,0.06825525,0.033521809369951534,0.023828756,0.016155089,0.006865913,0.006462036,0.003231018,0,0.005654281,[],,
Dickens,TheOldCuriosityShop,6,CHAPTER 6,126,4335,3487,34.404761904761905,666.0821995464854,666.0821995464854,4,4.341267565242329,0.2747,82.9324,74.99523573762254,7.7531957778336285,8.284950236705756,0.9996,0.129,0.78,0.091,913,0,231,383,277,170,302,678,17,556,117,754,2,0,170,17,279,3,0,383,208,17,6,49,428,179,0,71,3,0,388,131,238,13,4,14,103,2,165,253,71,73,101,42,17,37,0,22,0,0.066246057,0.10983653570404359,0.079437912,0.048752509,0.086607399,0.19443647834815028,0.004875251,0.15944938342414683,0.033553198,0.21623171780900488,0.000573559,0,0.048752509,0.004875251,0.080011471,0.000860338,0,0.10983653570404359,0.059650129,0.004875251,0.001720677,0.014052193862919416,0.12274161170060224,0.051333524519644395,0,0.020361342127903644,0.000860338,0,0.11127043303699455,0.03756811,0.068253513,0.003728133,0.001147118,0.004014913,0.029538285,0.000573559,0.047318612,0.072555205,0.020361342127903644,0.020934901061084026,0.028964726125609408,0.012044738,0.004875251,0.01061084,0,0.006309148,[],,
Dickens,TheOldCuriosityShop,7,CHAPTER 7,83,3067,2452,36.95180722891566,869.9012919146464,869.9012919146464,4.317292006525285,6.235377984879009,0.3295,89.6047,63.16945643603391,9.685054975140723,8.212534639717985,0.9993,0.146,0.757,0.097,784,0,168,314,130,96,275,565,16,296,83,509,0,0,96,16,243,13,0,314,164,3,1,40,370,131,0,64,0,0,186,89,111,5,3,8,75,0,108,141,54,60,56,50,19,21,0,11,0,0.068515498,0.12805872756933115,0.053017945,0.039151713,0.11215334420880914,0.23042414355628058,0.006525285,0.12071778140293637,0.033849918,0.20758564437194127,0,0,0.039151713,0.006525285,0.099102773,0.005301794,0,0.12805872756933115,0.066884176,0.001223491,0.00040783,0.016313214,0.15089722675367048,0.053425775,0,0.026101141924959218,0,0,0.075856444,0.0362969,0.045269168,0.002039152,0.001223491,0.003262643,0.030587275693311582,0,0.044045677,0.057504078,0.022022838,0.024469820554649267,0.022838499184339316,0.020391517128874388,0.007748777,0.008564437,0,0.004486134,[],,
Dickens,TheOldCuriosityShop,8,CHAPTER 8,98,4582,3804,46.755102040816325,1257.4094127446897,1257.4094127446897,4.337013669821241,5.697673100759507,0.3084,94.7901,56.767702206139205,12.377672386434629,8.529457905420308,0.9998,0.151,0.746,0.103,1107,0,274,495,238,177,398,955,20,369,132,745,1,0,177,20,349,14,0,495,256,7,11,43,529,304,0,122,7,0,227,117,210,6,0,17,115,1,138,229,107,96,74,58,28,23,2,22,0,0.072029443,0.13012618296529968,0.06256572,0.046529968,0.1046267087276551,0.2510515247108307,0.005257624,0.097003155,0.034700315,0.19584647739221872,0.000262881,0,0.046529968,0.005257624,0.091745531,0.003680336,0,0.13012618296529968,0.067297581,0.001840168,0.002891693,0.011303890641430074,0.13906414300736067,0.079915878,0,0.032071504,0.001840168,0,0.059674027,0.030757097791798107,0.055205047318611984,0.001577287,0,0.00446898,0.030231335436382754,0.000262881,0.036277603,0.060199789695057834,0.028128286014721345,0.025236593059936908,0.019453207150368034,0.015247108307045216,0.007360673,0.006046267,0.000525762,0.005783386,[],,
Dickens,TheOldCuriosityShop,9,CHAPTER 9,132,4805,3928,36.40151515151515,961.4675734618917,961.4675734618917,4.089103869653768,4.303669461716187,0.2803,85.8508,73.58966480831441,8.818970182240886,8.427801331110743,0.9961,0.132,0.745,0.123,1029,0,304,455,291,239,398,739,21,513,117,850,1,0,239,21,351,5,0,455,285,14,5,49,530,96,0,113,9,0,351,128,250,6,2,17,100,1,187,278,99,110,94,33,33,33,1,33,0,0.077393075,0.11583503054989816,0.074083503,0.060845214,0.10132382892057026,0.18813645621181263,0.005346232,0.13060081466395113,0.029786151,0.21639511201629327,0.000254582,0,0.060845214,0.005346232,0.089358452,0.001272912,0,0.11583503054989816,0.072556008,0.003564155,0.001272912,0.012474541751527495,0.134928717,0.024439918533604887,0,0.028767820773930752,0.002291242,0,0.089358452,0.032586558044806514,0.063645621,0.001527495,0.000509165,0.004327902,0.025458248472505093,0.000254582,0.047606925,0.070773931,0.025203665987780042,0.028004073,0.023930753564154784,0.008401222,0.008401222,0.008401222,0.000254582,0.008401222,[],,
Dickens,TheOldCuriosityShop,10,CHAPTER 10,65,2702,2170,41.56923076923077,1520.5836686390533,1520.5836686390533,4.039631336,4.496125209709274,0.323,86.4362,69.73219795802609,9.691786727,8.123057185230298,0.9962,0.116,0.788,0.096,677,0,142,254,172,120,220,412,12,295,76,466,1,0,120,12,197,6,0,254,129,10,3,23,317,60,0,35,3,0,210,62,153,9,0,19,57,1,82,159,49,69,55,29,14,23,0,10,0,0.065437788,0.11705069124423963,0.079262673,0.055299539170506916,0.10138248847926268,0.18986175115207374,0.005529954,0.1359447004608295,0.035023041474654376,0.21474654377880184,0.000460829,0,0.055299539170506916,0.005529954,0.09078341,0.002764977,0,0.11705069124423963,0.059447005,0.004608295,0.001382488,0.010599078341013824,0.14608294930875576,0.027649769585253458,0,0.016129032258064516,0.001382488,0,0.096774194,0.028571429,0.070506912,0.004147465,0,0.00875576,0.026267281105990782,0.000460829,0.037788018,0.073271889,0.022580645,0.031797235,0.025345622,0.013364055299539171,0.006451613,0.010599078341013824,0,0.004608295,[],,
